Plate	Well	PreCursor	Gene_symbol	Gene_ID	Sub_lib
1	D19	NM_001001671	MAP3K15	389840	KIN
1	D20	NM_004302	ACVR1B	91	KIN
1	D21	NM_019884	GSK3A	2931	KIN
1	D22	NM_003909	CPNE3	8895	KIN
1	D23				
1	D24				
1	E01				
1	E02				
1	E03	NM_018571	ALS2CR2	55437	KIN
1	E04	NM_004670	PAPSS2	9060	KIN
1	E05	NM_013276	CARKL	23729	KIN
1	E06	NM_003952	RPS6KB2	6199	KIN
1	E07	NM_001123	ADK	132	KIN
1	E08	NM_012395	PFTK1	5218	KIN
1	E09	NM_005158	ABL2	27	KIN
1	E10	NM_003551	NME5	8382	KIN
1	E11	NM_005030	PLK1	5347	KIN
1	E12	NM_005417	SRC	6714	KIN
1	E13	NM_015716	MINK	50488	KIN
1	E14	NM_003157	NEK4	6787	KIN
1	E15	NM_016508	CDKL3	51265	KIN
1	E16	NM_022048	CSNK1G1	53944	KIN
1	E17	NM_003954	MAP3K14	9020	KIN
1	E18	NM_031480	RIOK1	83732	KIN
1	E19	NM_145333	MAP3K7	6885	KIN
1	E20	NM_001014431	AKT1	207	KIN
1	E21	NM_001823	CKB	1152	KIN
1	E22	NM_001100594	SNRK	54861	KIN
1	E23				
1	E24				
1	F01				
1	F02				
1	F03	NM_001894	CSNK1E	1454	KIN
1	F04	NM_003656	CAMK1	8536	KIN
1	F05	NM_021975	RELA	5970	KIN
1	F06	NM_002376	MARK3	4140	KIN
1	F07	NM_012119	CCRK	23552	KIN
1	F08	NM_153361	MGC42105	167359	KIN
1	F09	NM_002752	MAPK9	5601	KIN
1	F10	NM_001274	CHEK1	1111	KIN
1	F11	NM_005781	TNK2	10188	KIN
1	F12	NM_001075099	SCAP1	8631	KIN
1	F13	NM_152835	PDIK1L	149420	KIN
1	F14	NM_033529	CDC2L2	728642	KIN
1	F15	NM_001699	AXL	558	KIN
1	F16	NM_006281	STK3	6788	KIN
1	F17	NM_020639	ANKRD3	54101	KIN
1	F18	NM_002020	FLT4	2324	KIN
1	F19	NM_003804	RIPK1	8737	KIN
1	F20	NM_033487	CDC2L1	984	KIN
1	F21	NM_006035	CDC42BPB	9578	KIN
1	F22	NM_145185	MAP2K7	5609	KIN
1	F23				
1	F24				
1	G01				
1	G02				
1	G03	NM_001786	CDC2	983	KIN
1	G04	NM_032430	KIAA1811	84446	KIN
1	G05	NM_006875	PIM2	11040	KIN
1	G06	NM_002611	PDK2	5164	KIN
1	G07	NM_198578	LRRK2	120892	KIN
1	G08	NM_033118	MYLK2	85366	KIN
1	G09	NM_000189	HK2	3099	KIN
1	G10	NM_145910	NEK11	79858	KIN
1	G11	NM_022158	FN3K	64122	KIN
1	G12	NM_020791	KIAA1361	57551	KIN
1	G13	NM_016441	CRIM1	51232	KIN
1	G14	NM_173354	SNF1LK	150094	KIN
1	G15	NM_002650	PIK4CA	5297	KIN
1	G16	NM_002822	PTK9	5756	KIN
1	G17	NM_032037	SSTK	83983	KIN
1	G18	NM_004690	LATS1	9113	KIN
1	G19	NM_004783	TAO1	9344	KIN
1	G20	NM_002627	PFKP	5214	KIN
1	G21	NM_002513	NME3	4832	KIN
1	G22	NM_006258	PRKG1	5592	KIN
1	G23				
1	G24				
1	H01				
1	H02				
1	H03	NM_000215	JAK3	3718	KIN
1	H04	NM_004445	EPHB6	2051	KIN
1	H05	NM_032028	STK22D	83942	KIN
1	H06	NM_018650	MARK1	4139	KIN
1	H07	NM_023108	FGFR1	2260	KIN
1	H08	NM_004157	PRKAR2A	5576	KIN
1	H09	NM_007254	PNKP	11284	KIN
1	H10	NM_032409	PINK1	65018	KIN
1	H11	NM_004448	ERBB2	2064	KIN
1	H12	NM_005592	MUSK	4593	KIN
1	H13	NM_002733	PRKAG1	5571	KIN
1	H14	NM_014683	ULK2	9706	KIN
1	H15	NM_018208	FLJ10761	55224	KIN
1	H16	NM_024046	MGC8407	79012	KIN
1	H17	NM_000875	IGF1R	3480	KIN
1	H18	NM_198437	AURKA	6790	KIN
1	H19	NM_033116	NEK9	91754	KIN
1	H20	NM_001014834	PAK4	10298	KIN
1	H21	NM_032237	FLJ23356	84197	KIN
1	H22	NM_138957	MAPK1	5594	KIN
1	H23				
1	H24				
1	I01				
1	I02				
1	I03	NM_017431	PRKAG3	53632	KIN
1	I04	NM_018343	RIOK2	55781	KIN
1	I05	NM_005308	GRK5	2869	KIN
1	I06	NM_004958	FRAP1	2475	KIN
1	I07	NM_002314	LIMK1	3984	KIN
1	I08	NM_006207	PDGFRL	5157	KIN
1	I09	NM_012474	UMPK	7371	KIN
1	I10	NM_152327	AK7	122481	KIN
1	I11	NM_022458	C7ORF2	64327	KIN
1	I12	NM_173641	EPHA10	284656	KIN
1	I13	NM_014238	KSR	8844	KIN
1	I14	NM_004226	STK17B	9262	KIN
1	I15	NM_004834	MAP4K4	9448	KIN
1	I16	NM_003995	NPR2	4882	KIN
1	I17	NM_005813	PRKCN	23683	KIN
1	I18	NM_005113	GOLGA5	9950	KIN
1	I19	NM_032538	TTBK1	84630	KIN
1	I20	NM_003576	STK24	8428	KIN
1	I21	NM_005406	ROCK1	6093	KIN
1	I22	NM_004080	DGKB	1607	KIN
1	I23				
1	I24				
1	J01				
1	J02				
1	J03	NM_004119	FLT3	2322	KIN
1	J04	NM_198828	MAST4	375449	KIN
1	J05	NM_005028	PIP5K2A	5305	KIN
1	J06	NM_001099735	CKMT2	1160	KIN
1	J07	NM_004938	DAPK1	1612	KIN
1	J08	NM_003629	PIK3R3	8503	KIN
1	J09	NM_006712	FASTK	10922	KIN
1	J10	NM_001616	ACVR2	92	KIN
1	J11	NM_006259	PRKG2	5593	KIN
1	J12	NM_001002838	PRKWNK3	65267	KIN
1	J13	NM_002436	MPP1	4354	KIN
1	J14	NM_002744	PRKCZ	5590	KIN
1	J15	NM_014365	HSPB8	26353	KIN
1	J16	NM_005546	ITK	3702	KIN
1	J17	NM_005211	CSF1R	1436	KIN
1	J18	NM_172207	CAMKK1	84254	KIN
1	J19	NM_003583	DYRK2	8445	KIN
1	J20	NM_015690	STK36	27148	KIN
1	J21	NM_006256	PRKCL2	5586	KIN
1	J22	NM_139047	MAPK8	5599	KIN
1	J23				
1	J24				
1	K01				
1	K02				
1	K03	NM_000459	TEK	7010	KIN
1	K04	NM_006374	STK25	10494	KIN
1	K05	NM_138316	PANK1	53354	KIN
1	K06	NM_003503	CDC7	8317	KIN
1	K07	NM_001044722	CSNK1G3	1456	KIN
1	K08	NM_001222	CAMK2G	818	KIN
1	K09	NM_001827	CKS2	1164	KIN
1	K10	NM_017859	URKL1	54963	KIN
1	K11	NM_000294	PHKG2	5261	KIN
1	K12	NM_033141	MAP3K9	4293	KIN
1	K13	NM_002749	MAPK7	5598	KIN
1	K14	NM_000180	GUCY2D	3000	KIN
1	K15	NM_144633	KCNH8	131096	KIN
1	K16	NM_172215	CAMKK2	10645	KIN
1	K17	NM_001221	CAMK2D	817	KIN
1	K18	XM_290923	KIAA1639	57729	KIN
1	K19	NM_006575	MAP4K5	11183	KIN
1	K20	NM_018584	CAMKIILPHA	55450	KIN
1	K21	NM_013355	PKN3	29941	KIN
1	K22	NM_001093772	KIT	3815	KIN
1	K23				
1	K24				
1	L01				
1	L02				
1	L03	NM_004586	RPS6KA3	6197	KIN
1	L04	NM_004612	TGFBR1	7046	KIN
1	L05	NM_005227	EF4	1945	KIN
1	L06	NM_003936	CDK5R2	8941	KIN
1	L07	NM_020421	ADCK1	57143	KIN
1	L08	NM_138370	LOC91461	91461	KIN
1	L09	NM_005204	MAP3K8	1326	KIN
1	L10	NM_001080826	DKFZP761P0423	157285	KIN
1	L11	NM_001260	CDK8	1024	KIN
1	L12	NM_199462	DUSTYPK	25778	KIN
1	L13	NM_198973	MKNK1	8569	KIN
1	L14	NM_032237	FLJ23356	84197	KIN
1	L15	NM_004570	PIK3C2G	5288	KIN
1	L16	NM_005391	PDK3	5165	KIN
1	L17	NM_000075	CDK4	1019	KIN
1	L18	NM_201554	DGKA	1606	KIN
1	L19	NM_002648	PIM1	5292	KIN
1	L20	NM_022755	C9ORF12	64768	KIN
1	L21	NM_001347	DGKQ	1609	KIN
1	L22	NM_005975	PTK6	5753	KIN
1	L23				
1	L24				
1	M01				
1	M02				
1	M03	NM_138292	ATM	472	KIN
1	M04	NM_002741	PRKCL1	5585	KIN
1	M05	NM_000292	PHKA2	5256	KIN
1	M06	NM_003821	RIPK2	8767	KIN
1	M07	NM_018238	MULK	55750	KIN
1	M08	NM_020990	CKMT1B	1159	KIN
1	M09	NM_001004105	GRK6	2870	KIN
1	M10	NM_017572	MKNK2	2872	KIN
1	M11	NM_001203	BMPR1B	658	KIN
1	M12	NM_015978	TNNI3K	51086	KIN
1	M13	NM_030906	STK33	65975	KIN
1	M14	NM_139158	ALS2CR7	65061	KIN
1	M15	NM_020778	MIDORI	57538	KIN
1	M16	NM_002110	HCK	3055	KIN
1	M17	NM_021133	RSEL	6041	KIN
1	M18	NM_001826	CKS1B	1163	KIN
1	M19	NM_001008910	STK16	8576	KIN
1	M20	NM_017593	BMP2K	55589	KIN
1	M21	NM_002929	GRK1	6011	KIN
1	M22	NM_000293	PHKB	5257	KIN
1	M23				
1	M24				
1	N01				
1	N02				
1	N03	NM_006301	MAP3K12	7786	KIN
1	N04	NM_002576	PAK1	5058	KIN
1	N05	NM_052841	STK22C	81629	KIN
1	N06	NM_002958	RYK	6259	KIN
1	N07	NM_018425	PI4KII	55361	KIN
1	N08	NM_003681	PDXK	8566	KIN
1	N09	NM_153809	TAF1L	138474	KIN
1	N10	NM_178170	NEK8	284086	KIN
1	N11	NM_020439	CAMK1G	57172	KIN
1	N12	NM_000167	GK	2710	KIN
1	N13	NM_017525	HSMDPKIN	55561	KIN
1	N14	NM_173598	KSR2	283455	KIN
1	N15	NM_005990	STK10	6793	KIN
1	N16	NM_002734	PRKAR1A	5573	KIN
1	N17	NM_012301	AIP1	9863	KIN
1	N18	NM_012346	NUP62	23636	KIN
1	N19	NM_005157	ABL1	25	KIN
1	N20	NM_004560	ROR2	4920	KIN
1	N21	NM_020168	PAK6	56924	KIN
1	N22	NM_024779	PIP5K2C	79837	KIN
1	N23				
1	N24				
1	O01				
1	O02				
1	O03	NM_006510	RFP	5987	KIN
1	O04	NM_007118	TRIO	7204	KIN
1	O05	NM_173492	PIP5KL1	138429	KIN
1	O06	NM_001039481	ETNK1	55500	KIN
1	O07	NM_199289	NEK5	341676	KIN
1	O08	NM_139021	ERK8	225689	KIN
1	O09	NM_006622	PLK2	10769	KIN
1	O10	NM_031284	ADP-GK	83440	KIN
1	O11	NM_001319	CSNK1G2	1455	KIN
1	O12	NM_002649	PIK3CG	5294	KIN
1	O13	NM_001039468	MARK2	2011	KIN
1	O14	NM_000142	FGFR3	2261	KIN
1	O15	NM_015028	TNIK	23043	KIN
1	O16	NM_016123	IRAK4	51135	KIN
1	O17	NM_005184	CALM3	808	KIN
1	O18	NM_002596	PCTK3	5129	KIN
1	O19	NM_002654	PKM2	5315	KIN
1	O20	NM_016276	SGK2	10110	KIN
1	O21	NM_001037343	CDKL5	6792	KIN
1	O22	NM_003845	DYRK4	8798	KIN
1	O23				
1	O24				
1	P01				
1	P02				
1	P03	NM_024619	FN3KRP	79672	KIN
1	P04	NM_001105	ACVR1	90	KIN
1	P05	NM_001626	AKT2	208	KIN
1	P06	NM_002731	PRKACB	5567	KIN
1	P07	NM_025164	KIAA0999	23387	KIN
1	P08	NM_013233	STK39	27347	KIN
1	P09	NM_014264	PLK4	10733	KIN
1	P10	NM_139354	MATK	4145	KIN
1	P11	NM_001048200	HIPK3	10114	KIN
1	P12	NM_003161	RPS6KB1	6198	KIN
1	P13	NM_006293	TYRO3	7301	KIN
1	P14	NM_018339	RFK	55312	KIN
1	P15	NM_001109891	MAPK3	5595	KIN
1	P16	NM_173500	TTBK2	146057	KIN
1	P17	NM_005433	YES1	7525	KIN
1	P18	NM_014826	CDC42BPA	8476	KIN
1	P19	NM_033516	NYD-SP25	89882	KIN
1	P20	NM_031965	GSG2	83903	KIN
1	P21	NM_030911	CDADC1	81602	KIN
1	P22	NM_152696	HIPK1	204851	KIN
1	P23				
1	P24				
2	A01				
2	A02				
2	A03	NM_002419	MAP3K11	4296	KIN
2	A04	NM_003010	MAP2K4	6416	KIN
2	A05	NM_004217	AURKB	9212	KIN
2	A06	NM_023018	FLJ13052	65220	KIN
2	A07	NM_001031801	LIMK2	3985	KIN
2	A08	NM_006852	TLK2	11011	KIN
2	A09	NM_001004057	GRK4	2868	KIN
2	A10	NM_201629	TJP2	9414	KIN
2	A11	NM_001012418	LOC340156	340156	KIN
2	A12	NM_174922	ADCK5	203054	KIN
2	A13	NM_005044	PRKX	5613	KIN
2	A14	NM_002751	MAPK11	5600	KIN
2	A15	NM_005476	GNE	10020	KIN
2	A16	NM_138733	PGK2	5232	KIN
2	A17	NM_002735	PRKAR1B	5575	KIN
2	A18	NM_001211	BUB1B	701	KIN
2	A19	NM_000431	MVK	4598	KIN
2	A20	NM_002757	MAP2K5	5607	KIN
2	A21	NM_032471	PKIB	5570	KIN
2	A22	NM_001102406	LAK	80216	KIN
2	A23				
2	A24				
2	B01				
2	B02				
2	B03	NM_020630	RET	5979	KIN
2	B04	NM_014791	MELK	9833	KIN
2	B05	NM_002758	MAP2K6	5608	KIN
2	B06	NM_006255	PRKCH	5583	KIN
2	B07	NM_012424	RPS6KC1	26750	KIN
2	B08	NM_002578	PAK3	5063	KIN
2	B09	NM_013330	NME7	29922	KIN
2	B10	NM_002625	PFKFB1	5207	KIN
2	B11	NM_002446	MAP3K10	4294	KIN
2	B12	NM_014215	INSRR	3645	KIN
2	B13	NM_031432	UCK1	83549	KIN
2	B14	NM_001364	DLG2	1740	KIN
2	B15	NM_000141	FGFR2	2263	KIN
2	B16	NM_152671	PIP5K3	200576	KIN
2	B17	NM_001005915	ERBB3	2065	KIN
2	B18	NM_004329	BMPR1A	657	KIN
2	B19	NM_152720	NEK3	4752	KIN
2	B20	NM_175886	PRPS1L1	221823	KIN
2	B21	NM_005713	COL4A3BP	10087	KIN
2	B22	NM_000876	IGF2R	3482	KIN
2	B23				
2	B24				
2	C01				
2	C02				
2	C03	NM_004935	CDK5	1020	KIN
2	C04	NM_001799	CDK7	1022	KIN
2	C05	NM_024876	ADCK4	79934	KIN
2	C06	NM_024652	LRRK1	79705	KIN
2	C07	NM_014413	HRI	27102	KIN
2	C08	NM_144610	FLJ25006	124923	KIN
2	C09	NM_004635	MAPKAPK3	7867	KIN
2	C10	NM_139013	MAPK14	1432	KIN
2	C11	NM_001106	ACVR2B	93	KIN
2	C12	NM_013254	TBK1	29110	KIN
2	C13	NM_201283	EGFR	1956	KIN
2	C14	NM_033266	ERN2	10595	KIN
2	C15	NM_002944	ROS1	6098	KIN
2	C16	NM_002740	PRKCI	5584	KIN
2	C17	NM_002115	HK3	3101	KIN
2	C18	NM_014002	IKBKE	9641	KIN
2	C19	NM_006182	DDR2	4921	KIN
2	C20	NM_145203	CSNK1A1L	122011	KIN
2	C21	NM_014326	DAPK2	23604	KIN
2	C22	NM_003557	PIP5K1A	8394	KIN
2	C23				
2	C24				
2	D01				
2	D02				
2	D03	NM_031267	CDC2L5	8621	KIN
2	D04	NM_003243	TGFBR3	7049	KIN
2	D05	NM_004304	ALK	238	KIN
2	D06	NM_016308	UMP-CMPK	51727	KIN
2	D07	NM_005876	SPEG	10290	KIN
2	D08	NM_212469	CHKA	1119	KIN
2	D09	NM_033550	TP53RK	112858	KIN
2	D10	NM_032387	WNK4	65266	KIN
2	D11	NM_001962	EF5	1946	KIN
2	D12	NM_001006665	RPS6KA1	6195	KIN
2	D13	NM_002754	MAPK13	5603	KIN
2	D14	NM_054111	IHPK3	117283	KIN
2	D15	NM_021643	TRIB2	28951	KIN
2	D16	NM_001721	BMX	660	KIN
2	D17	NM_152910	DGKH	160851	KIN
2	D18	NM_020666	CLK4	57396	KIN
2	D19	NM_002031	FRK	2444	KIN
2	D20	NM_002577	PAK2	5062	KIN
2	D21	NM_006219	PIK3CB	5291	KIN
2	D22	XM_001134406	LOC390226	390226	KIN
2	D23				
2	D24				
2	E01				
2	E02				
2	E03	NM_014216	ITPK1	3705	KIN
2	E04	NM_004760	STK17A	9263	KIN
2	E05	AJ277481	ILK-2	55522	KIN
2	E06	NM_031272	TEX14	56155	KIN
2	E07	NM_004431	EPHA2	1969	KIN
2	E08	NM_004759	MAPKAPK2	9261	KIN
2	E09	NM_006213	PHKG1	5260	KIN
2	E10	NM_206961	LTK	4058	KIN
2	E11	NM_145059	FUK	197258	KIN
2	E12	NM_003688	CASK	8573	KIN
2	E13	NM_013410	AK3	205	KIN
2	E14	NM_004714	DYRK1B	9149	KIN
2	E15	NM_001896	CSNK2A2	1459	KIN
2	E16	NM_001024401	SBK1	388228	KIN
2	E17	NM_006296	VRK2	7444	KIN
2	E18	NM_006201	PCTK1	5127	KIN
2	E19	NM_003947	KALRN	8997	KIN
2	E20	NM_006724	MAP3K4	4216	KIN
2	E21	NM_001654	ARAF1	369	KIN
2	E22	NM_015000	STK38L	23012	KIN
2	E23				
2	E24				
2	F01				
2	F02				
2	F03	NM_172056	KCNH2	3757	KIN
2	F04	NM_001892	CSNK1A1	1452	KIN
2	F05	NM_004196	CDKL1	8814	KIN
2	F06	NM_001018139	NME2	4831	KIN
2	F07	NM_001018064	NTRK2	4915	KIN
2	F08	NM_005906	MAK	4117	KIN
2	F09	NM_001080395	AATK	9625	KIN
2	F10	NM_005026	PIK3CD	5293	KIN
2	F11	NM_002739	PRKCG	5582	KIN
2	F12	NM_004672	MAP3K6	9064	KIN
2	F13	NM_007271	STK38	11329	KIN
2	F14	NM_001726	BRDT	676	KIN
2	F15	NM_006556	PMVK	10654	KIN
2	F16	NM_001013703	EIF2AK4	440275	KIN
2	F17	NM_005232	EPHA1	2041	KIN
2	F18	NM_005793	NME6	10201	KIN
2	F19	NM_002880	RAF1	5894	KIN
2	F20	NM_130438	DYRK1A	1859	KIN
2	F21	NM_002743	PRKCSH	5589	KIN
2	F22	NM_001744	CAMK4	814	KIN
2	F23				
2	F24				
2	G01				
2	G02				
2	G03	NM_021574	BCR	613	KIN
2	G04	NM_032017	MGC4796	83931	KIN
2	G05	NM_000788	DCK	1633	KIN
2	G06	NM_006823	PKIA	5569	KIN
2	G07	NM_033115	MGC16169	93627	KIN
2	G08	NM_022128	RBKS	64080	KIN
2	G09	NM_032028	STK22D	83942	KIN
2	G10	NM_002637	PHKA1	5255	KIN
2	G11	NM_006947	SRP72	6731	KIN
2	G12	NM_001433	ERN1	2081	KIN
2	G13	NM_004717	DGKI	9162	KIN
2	G14	NM_018423	STYK1	55359	KIN
2	G15	NM_004383	CSK	1445	KIN
2	G16	NM_014840	ARK5	9891	KIN
2	G17	NM_003640	IKBKAP	8518	KIN
2	G18	NM_003558	PIP5K1B	8395	KIN
2	G19	NM_005160	ADRBK2	157	KIN
2	G20	NM_080918	DGUOK	1716	KIN
2	G21	NM_014920	ICK	22858	KIN
2	G22	NM_024594	PANK3	79646	KIN
2	G23				
2	G24				
2	H01				
2	H02				
2	H03	NM_006254	PRKCD	5580	KIN
2	H04	NM_016281	JIK	51347	KIN
2	H05	NM_001184	ATR	545	KIN
2	H06	NM_181871	PKLR	5313	KIN
2	H07	NM_015981	CAMK2A	815	KIN
2	H08	NM_020341	PAK7	57144	KIN
2	H09	NM_002253	KDR	3791	KIN
2	H10	NM_003384	VRK1	7443	KIN
2	H11	NM_004606	TAF1	6872	KIN
2	H12	NM_173655	EPHA6	285220	KIN
2	H13	NM_015076	CDK11	23097	KIN
2	H14	NM_004963	GUCY2C	2984	KIN
2	H15	NM_030952	SRK	81788	KIN
2	H16	NM_001039582	PNCK	139728	KIN
2	H17	NM_001048218	SCYL1	57410	KIN
2	H18	NM_001025778	VRK3	51231	KIN
2	H19	NM_005399	PRKAB2	5565	KIN
2	H20	NM_006206	PDGFRA	5156	KIN
2	H21	NM_032017	MGC4796	83931	KIN
2	H22	NM_013994	DDR1	780	KIN
2	H23				
2	H24				
2	I01				
2	I02				
2	I03	NM_052853	ADCK2	90956	KIN
2	I04	NM_182691	SRPK2	6733	KIN
2	I05	NM_018323	PI4K2B	55300	KIN
2	I06	NM_003993	CLK2	1196	KIN
2	I07	NM_021158	TRIB3	57761	KIN
2	I08	NM_003242	TGFBR2	7048	KIN
2	I09	NM_001018046	FLJ23074	80122	KIN
2	I10	NM_053006	STK22B	23617	KIN
2	I11	NM_022740	HIPK2	28996	KIN
2	I12	NM_005255	GAK	2580	KIN
2	I13	NM_002764	PRPS1	5631	KIN
2	I14	NM_001006932	RPS6KA2	6196	KIN
2	I15	NM_001893	CSNK1D	1453	KIN
2	I16	NM_002748	MAPK6	5597	KIN
2	I17	NM_003582	DYRK3	8444	KIN
2	I18	NM_139209	GRK7	131890	KIN
2	I19	NM_003331	TYK2	7297	KIN
2	I20	NM_001619	ADRBK1	156	KIN
2	I21	NM_017433	MYO3A	53904	KIN
2	I22	NM_052987	CDK10	8558	KIN
2	I23				
2	I24				
2	J01				
2	J02				
2	J03	NM_018401	STK32B	55351	KIN
2	J04	NM_007284	PTK9L	11344	KIN
2	J05	NM_153497	MAP3K7IP1	10454	KIN
2	J06	NM_002645	PIK3C2A	5286	KIN
2	J07	NM_002759	PRKR	5610	KIN
2	J08	NM_145001	STK32A	202374	KIN
2	J09	NM_006871	RIPK3	11035	KIN
2	J10	NM_005316	GTF2H1	2965	KIN
2	J11	NM_017886	ULK4	54986	KIN
2	J12	NM_018492	TOPK	55872	KIN
2	J13	NM_020126	SPHK2	56848	KIN
2	J14	NM_016653	ZAK	51776	KIN
2	J15	NM_006285	TESK1	7016	KIN
2	J16	NM_002612	PDK4	5166	KIN
2	J17	NM_001320	CSNK2B	1460	KIN
2	J18	NM_001278	CHUK	1147	KIN
2	J19	NM_001042599	ERBB4	2066	KIN
2	J20	NM_001042482	TPK1	27010	KIN
2	J21	NM_004567	PFKFB4	5210	KIN
2	J22	NM_174944	C14ORF20	283629	KIN
2	J23				
2	J24				
2	K01				
2	K02				
2	K03	NM_021972	SPHK1	8877	KIN
2	K04	NM_000389	CDKN1A	1026	KIN
2	K05	NM_006716	ASK	10926	KIN
2	K06	NM_024960	PANK2	80025	KIN
2	K07	NM_002609	PDGFRB	5159	KIN
2	K08	NM_182644	EPHA3	2042	KIN
2	K09	NM_001042729	FGR	2268	KIN
2	K10	NM_001017423	PYCS	5832	KIN
2	K11	NM_001083592	ROR1	4919	KIN
2	K12	NM_001006115	IHPK1	9807	KIN
2	K13	NM_015083	CRK7	51755	KIN
2	K14	NM_014299	BRD4	23476	KIN
2	K15	NM_004064	CDKN1B	1027	KIN
2	K16	NM_003215	TEC	7006	KIN
2	K17	NM_020804	PACSIN1	29993	KIN
2	K18	NM_000144	FRDA	2395	KIN
2	K19	NM_001348	DAPK3	1613	KIN
2	K20	NM_002765	PRPS2	5634	KIN
2	K21	NM_181504	PIK3R1	5295	KIN
2	K22	NM_012093	AK5	26289	KIN
2	K23				
2	K24				
2	L01				
2	L02				
2	L03	NM_004203	PKMYT1	9088	KIN
2	L04	NM_001001852	PIM3	415116	KIN
2	L05	NM_020423	PACE-1	57147	KIN
2	L06	NM_001080434	LMTK3	114783	KIN
2	L07	NM_001556	IKBKB	3551	KIN
2	L08	NM_145862	CHEK2	11200	KIN
2	L09	NM_004721	MAP3K13	9175	KIN
2	L10	NM_002227	JAK1	3716	KIN
2	L11	NM_020397	CAMK1D	57118	KIN
2	L12	NM_004836	EIF2AK3	9451	KIN
2	L13	NM_007199	IRAK3	11213	KIN
2	L14	NM_002647	PIK3C3	5289	KIN
2	L15	NM_005372	MOS	4342	KIN
2	L16	NM_004850	ROCK2	9475	KIN
2	L17	NM_003559	PIP5K2B	8396	KIN
2	L18	NM_002646	PIK3C2B	5287	KIN
2	L19	NM_006282	STK4	6789	KIN
